city,population,population_year,population_date,source
Warszawa,1864035,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kraków,810590,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wrocław,672545,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łódź,642590,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Poznań,534913,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gdańsk,489160,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczecin,385158,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lublin,327384,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bydgoszcz,322464,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Białystok,289685,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Katowice,277884,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gdynia,239325,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Częstochowa,202415,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rzeszów,198540,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Toruń,193224,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radom,192838,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sosnowiec,183962,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kielce,179694,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gliwice,167568,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Olsztyn,165855,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bielsko-Biała,163605,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zabrze,151542,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bytom,145346,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zielona Góra,138760,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rybnik,129307,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ruda Śląska,128138,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Opole,125095,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tychy,120518,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gorzów Wielkopolski,114076,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dąbrowa Górnicza,111737,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Elbląg,111580,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Płock,109349,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koszalin,104872,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tarnów,101614,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chorzów,98897,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Włocławek,98659,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wałbrzych,98150,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kalisz,91515,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Legnica,90343,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grudziądz,87241,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jaworzno,85695,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Słupsk,84409,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jastrzębie-Zdrój,80843,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowy Sącz,79555,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Siedlce,74504,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jelenia Góra,73849,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mysłowice,70468,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piła,69074,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostrów Wielkopolski,68333,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Suwałki,68067,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubin,66422,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Inowrocław,66060,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pruszków,65886,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stargard,65848,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piotrków Trybunalski,65676,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Konin,65570,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Siemianowice Śląskie,62571,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gniezno,62424,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żory,61887,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tarnowskie Góry,61149,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głogów,60893,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostrowiec Świętokrzyski,60695,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pabianice,59598,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Leszno,59143,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łomża,59129,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ełk,59127,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zamość,57185,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tomaszów Mazowiecki,56347,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mielec,56286,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tczew,56170,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chełm,55981,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przemyśl,54878,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rumia,53949,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stalowa Wola,53897,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Biała Podlaska,53650,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kędzierzyn-Koźle,53473,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Będzin,52858,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zgierz,52628,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Legionowo,52034,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świdnica,51701,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piaseczno,51584,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bełchatów,51247,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piekary Śląskie,51193,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Racibórz,48898,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostrołęka,47443,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Marki,46676,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ząbki,45654,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wejherowo,45308,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zawiercie,45242,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skierniewice,44958,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Starogard Gdański,44870,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
